347688,850506,n:1,
23560,856012,1:1,1240377
91734,855986,n:1,
HUMAN00037,855986,n:1,922020
5214,853155,n:m,
5214,855245,n:m,1206392
10531,852041,1:1,
83592,852446,n:m,
83592,851974,n:m,
83592,856504,n:m,
83592,853559,n:m,
83592,854287,n:m,
1645,852446,n:m,
1645,851974,n:m,
1645,856504,n:m,
1645,853559,n:m,
1645,854287,n:m,
1646,852446,n:m,
1646,851974,n:m,855407
1646,856504,n:m,
1646,853559,n:m,
1646,854287,n:m,
8644,852446,n:m,
8644,851974,n:m,
8644,856504,n:m,
8644,853559,n:m,
8644,854287,n:m,
340811,852446,n:m,
340811,851974,n:m,
340811,856504,n:m,
340811,853559,n:m,
340811,854287,n:m,
810,852406,n:1,
2665,856876,n:1,
5209,853286,n:1,
509,852327,1:1,1177657
26019,856476,1:1,1216490
55176,851095,n:1,
11164,852408,1:1,1143983
8872,850912,1:1,1245352
414149,852925,n:1,929105
9397,850892,n:1,
9200,853348,n:1,1216526
8027,856387,n:1,961652
22921,850324,n:1,
9790,855884,1:1,761662
100287932,855751,1:1,
1103,854965,n:1,918630
55753,854681,n:1,
7321,852376,n:m,
7321,851631,n:m,
64081,856424,1:1,954593
1763,856569,1:1,855126
8034,856391,n:m,
8034,856121,n:m,917335
9559,853393,n:1,
56681,855883,n:1,953175
8879,851888,1:1,1183922
55315,851211,n:1,673898
5532,851153,n:m,
5532,854946,n:m,1195472
132,853569,1:1,
7417,854692,n:m,1225581
7417,855669,n:m,
11128,854283,1:1,1247541
6229,856805,1:1,1162981
10105,851733,n:m,962047
10105,851898,n:m,
10105,856454,n:m,
10105,854897,n:m,
4143,852113,n:m,
4143,850877,n:m,1242241
2746,851237,n:m,
2746,854557,n:m,1238198
9562,851299,1:m,
9562,852389,1:m,
9562,852390,1:m,
9562,856625,1:m,
84896,852915,1:1,961435
142910,853717,n:1,
8513,853717,n:1,
643414,853717,n:1,
643418,853717,n:1,
340654,853717,n:1,
3988,853717,n:1,1149512
387700,853659,n:m,
387700,855598,n:m,
387700,854030,n:m,
387700,854483,n:m,
53354,852144,1:1,
10556,856459,1:1,1219099
9044,856023,1:1,924410
3416,851105,1:1,937091
54536,852618,n:1,
159371,855864,1:1,
64318,850688,1:1,
3070,850599,1:1,961578
23223,856095,1:1,719374
5223,853705,n:1,820498
64210,854678,1:1,
2805,850714,n:1,1175571
81894,853308,n:m,
81894,853926,n:m,
57089,856722,n:1,
1355,856884,1:1,1241986
1244,851713,n:1,
55280,852985,1:1,
25956,851332,n:1,1210947
81855,854445,n:1,
10121,856530,n:1,
729020,853322,n:1,
6877,852497,1:1,960976
22984,855269,1:1,961105
7511,850630,1:1,1249422
9126,853371,1:1,960930
51703,856734,n:1,
143187,855237,n:1,839249
55088,854370,n:1,
8661,852371,1:1,961001
7073,855716,n:1,
196051,851878,n:1,788270
9184,854191,1:1,
4942,851158,1:1,1192320
HUMAN03300,854746,n:1,1229323
399818,854746,n:1,
1488,856814,1:1,
7390,854452,1:1,891573
56647,851963,1:1,674644
10539,856921,1:1,1244398
55844,852685,n:1,
10570,854845,n:1,
10844,856577,1:1,718627
196743,855034,1:1,
23410,856092,n:1,
5719,852037,1:1,670597
6888,852934,1:m,
6888,851068,1:m,
6181,851990,1:m,1230107
6181,854118,1:m,
5441,854385,1:1,1226617
161,852243,n:1,
1509,855949,n:1,961140
4676,853922,n:1,
833,855474,1:1,1230219
4928,852788,1:1,1240450
6240,854744,1:m,
6240,856801,1:m,710369
196120,855499,n:1,
390031,855499,n:1,
441584,855499,n:1,
143506,855499,n:1,
390033,855499,n:1,
27288,852042,1:1,
51700,854768,n:m,
51700,853707,n:m,
51700,854914,n:m,906883
51700,854887,n:m,
6157,852775,1:1,1242800
10527,853596,n:1,1251382
272,854973,n:1,
9646,854020,1:1,960965
1315,851824,1:1,696534
5682,855362,1:1,1218161
6207,851636,1:1,1223444
7251,850349,1:1,961321
54503,851857,n:m,
54503,854199,n:m,
10553,856721,1:1,
1479,855083,1:1,
55226,855591,1:1,662632
847,851843,1:1,854756
51074,853481,1:1,1177255
51144,852456,n:1,728738
91252,854789,1:1,961897
5702,854284,1:1,960908
2346,853590,n:1,
6749,854933,1:1,1226213
29015,855261,n:1,961546
8501,855261,n:1,
26519,856395,1:1,923278
219539,852231,n:1,
HUMAN06067,854424,1:1,1243281
5007,856472,1:1,
HUMAN06225,855221,n:m,
HUMAN06225,855844,n:m,
51296,853968,n:1,
643834,855949,n:1,
643847,855949,n:1,
5222,855949,n:1,
26007,850491,1:m,
26007,854932,1:m,1211840
HUMAN06433,854083,n:1,1228294
54949,854083,n:1,
2237,853747,1:1,1249877
1937,853781,1:m,
1937,856059,1:m,856062
23193,852530,n:1,807290
5436,852013,1:1,1212642
10482,855934,1:1,751964
6811,850713,1:1,1210517
10963,854192,1:1,961104
83707,854051,1:1,942173
HUMAN06837,852131,1:1,
51504,855782,1:1,1160045
25824,850799,1:1,
5837,856289,n:1,
7536,850807,1:1,
7108,855441,n:1,801284
57410,854279,1:1,
10524,854418,1:1,721044
80198,851994,1:1,1198339
81876,850505,1:1,
254263,852511,n:m,
254263,852826,n:m,
65003,855536,1:1,1189787
HUMAN07399,854097,1:1,1133922
9973,855054,1:1,1148127
5499,856870,n:1,
10312,855076,n:m,
10312,854444,n:m,
1374,854965,n:1,
3508,853852,1:1,691038
55191,856473,1:1,952460
HUMAN08062,856514,n:1,
5870,850966,n:1,
7351,852594,n:m,
7351,853558,n:m,
7351,854397,n:m,
7351,855969,n:m,
7352,851063,n:1,
51400,856474,1:1,955140
283209,855321,n:1,1189055
6188,855543,1:1,1232428
80168,854419,n:1,
84649,854419,n:1,
55331,852481,1:m,947701
55331,856018,1:m,
5058,854036,n:1,963960
79053,854233,1:1,676021
79731,850388,1:1,1184760
60492,850498,1:1,
10873,853839,n:1,
10003,853590,n:1,
4361,855264,1:1,
84259,850819,n:1,
38,856079,1:1,
5519,851217,n:1,714821
79796,855502,1:1,1243727
1737,855653,1:1,1246041
26521,853600,n:1,1239988
25996,850748,1:1,
8882,853125,1:1,1234546
372,850612,1:1,750832
1656,851394,1:1,961121
6230,852911,1:m,1155113
6230,851045,1:m,
55823,855271,1:1,1224316
3145,851322,1:1,
3014,852283,n:m,
3014,851811,n:m,
1798,852545,1:1,1229444
9099,855263,n:1,
6309,850745,1:1,
3312,851259,n:m,961072
3312,852203,n:m,
3312,856840,n:m,
