10771,66505,1:1,1172157
22982,208440,1:1,961182
23185,217980,1:1,1197355
23560,69237,1:1,1240377
91734,320581,1:m
91734,320581,1:m
HUMAN00037,319554,1:1,922020
22884,207615,1:1,1205127
105,94191,1:1,808667
5214,56421,1:1,1206392
10531,69617,1:1,1226232
1316,23849,1:1,962901
83592,56043,1:1,855303
1645,83702,n:m
1645,116852,n:m
1109,83702,n:m
1109,116852,n:m
114131,83428,1:1,1191817
79861,238463,1:1,674860
10276,56349,1:1,970506
51806,80796,1:m,978575
51806,494124,1:m
810,70405,1:1,980434
79754,142688,1:1,966082
54906,105203,1:1,897436
2665,14569,1:1,1209919
54522,320816,1:1,963844
HUMAN00143,50755,1:1,1184750
3601,16169,1:1,1147087
3559,16184,1:1,1198383
84991,76938,1:1,1208224
5209,170768,1:1,820511
5588,18761,1:1,967665
57713,353282,1:1,946139
80760,209378,1:1,733331
3698,MOUSE32066,1:1,733330
22944,16588,1:1,714853
509,11949,1:1,1177657
83860,209361,1:1,967348
2625,14462,1:1,1169608
10659,14007,1:1,961967
9712,98910,1:1,831266
79746,67856,1:1,893485
254427,227545,1:1,1212703
26019,326622,1:1,1216490
55526,209692,1:1,1250564
55176,57743,1:1,1248052
11164,53893,1:1,1143983
8872,98828,1:1,1245352
57118,227541,1:1,961650
83643,74186,1:1,1198676
10133,71648,1:1
55388,70024,1:1,1239280
221044,68527,1:1,1185097
5264,16922,1:1,708241
22929,109079,1:1,1187429
222389,209645,1:1
8559,67229,1:1,1243651
55691,209630,1:1,342779
83641,MOUSE31492,1:1,1235938
441549,227526,1:1,1228716
100421372,119065974,1:1,349691
51182,50497,1:1
79723,64707,1:1,819916
644890,104362,1:1,1232199
55301,99035,1:1,905130
414149,78245,1:1,929105
10557,227522,1:1
9397,18108,1:1,1222684
221061,269233,1:1,1202407
8516,241226,1:1,1220377
80013,66960,1:1,850320
9317,19212,1:1,1208166
389941,227580,1:1,974688
6251,20163,1:1,964228
8029,65969,1:1,964549
1787,13434,1:1,1183645
7431,22352,1:1,973233
338596,241230,1:1,673187
9200,30963,1:1,1216526
8027,20844,1:1,961652
653567,625286,1:1,942066
4360,17533,1:1,970813
221074,277468,1:1,966167
783,12296,1:1,906253
221078,74455,1:1,961803
221079,75869,1:1,953189
340895,102635496,1:1,669163
84898,67448,1:1
10529,74103,1:1,1144617
387640,72668,1:1,1156192
8028,17354,1:1,1174537
64215,13418,1:1,967841
23412,12238,1:1,808596
100532731,12151,n:1,761499
648,12151,n:1
9576,50525,1:1,961503
5305,18718,1:1,719795
219681,70882,1:1,962873
22921,76467,1:1,1220082
256297,19213,1:1,1197755
256815,70909,1:1,680111
220213,71198,1:1,1161085
56243,208618,1:1,973881
57584,71435,1:1,925558
219670,71233,1:1,1220252
79896,208967,1:1,1193242
57512,241263,1:1,940629
2572,14417,1:1,1183926
54518,54519,1:1,962403
23590,56075,1:1,1236442
10006,11308,1:1,963576
22852,232339,1:1,965890
10730,27377,1:1,963243
84930,67121,1:1,965210
91452,74159,1:1,677265
HUMAN00670,74675,1:1,1151139
22931,19330,1:1,961467
283078,210719,1:1,905455
55130,74934,1:1,965050
143098,75739,1:1
51322,225131,1:1,962122
25805,68010,1:1,1219304
84569,67328,n:1,943681
6840,225115,1:1,962834
57608,240185,1:1,1211795
55149,67440,1:1,696328
1326,26410,1:1,1145653
119180,67328,n:1
220929,240186,1:1,1180752
6935,21417,1:1,965983
94134,75415,1:1,965846
3799,16573,1:1,961095
80314,13831,1:1,906296
79741,MOUSE60033,1:1
3688,16412,1:1,964975
8829,18186,1:1,343012
56288,93742,1:1,1222636
HUMAN00836,71745,1:1,1214899
HUMAN00849,12916,1:1,1237516
219771,67974,1:1,714399
219770,225152,1:1
8325,14370,1:1,900331
57209,72720,1:1,345586
219749,22750,1:1,972943
9790,213895,1:1,761662
5979,19713,1:1,342674
55454,78752,1:1,1188440
HUMAN00929,70727,1:1,809338
53828,108017,1:1,1156190
3185,98758,1:1,964368
7580,232337,1:1,971784
6387,20315,1:1
643236,319776,1:1,1178213
83937,213391,1:1,1142010
11067,213393,1:1,1170127
7570,67255,1:1,968922
79290,258914,1:1,352131
240,11689,1:1,875088
93550,MOUSE50437,1:1,771969
253725,28006,n:1
100287932,53600,1:1
8031,27057,1:1,1202712
4477,17695,1:1,1211099
195977,239029,1:1,1204691
728113,11752,n:1,675264
5540,19065,n:1
9721,432839,1:1,912356
83849,319508,n:1,1206880
26095,19256,1:1,965597
2662,14560,1:1,1222603
2658,12165,1:1,348195
5949,19661,1:1,1187534
118738,382867,1:1,1163100
653145,11752,n:1
644054,69134,n:1,420061
83849,319508,n:1
100996758,19065,n:1,349989
644054,69134,n:1
143162,MOUSE14122,1:1,972416
5599,26419,1:1,964769
58504,239027,1:1,963748
57705,545030,1:1,822157
474354,67580,1:1,978928
196740,320736,1:1,1229252
170370,105511,1:1,1170232
170371,69069,1:1,897603
118461,100504518,1:1,1230290
644168,107751,1:1,1181336
2074,319955,1:1,963214
1103,12647,1:1,918630
6572,20508,1:1,963172
282966,67085,1:1,1208816
55753,MOUSE13839,1:1,1250565
8505,26430,1:1,1158936
387680,28006,n:1,962373
56624,54447,1:1,692158
259230,208449,1:1,673828
29974,69865,1:1,966473
5592,19091,1:1,963507
23283,83410,1:1,970236
22943,13380,1:1,1214741
4153,17195,1:1,966436
65217,MOUSE02246,1:1,961855
11130,52696,1:1,1134023
253430,69718,1:1
55847,52637,1:1,789113
7321,216080,1:1,828846
7019,21780,1:1,964763
80114,83675,1:1,1240338
84457,70911,1:1,408995
220965,71721,1:1,962952
220963,66859,1:1,968273
8030,76551,1:1,962396
983,12534,1:1,961033
9886,69288,1:1,969575
219623,327766,1:1,1162755
219621,73287,1:1,1199323
84159,71371,1:1,342524
219790,170799,1:1,1176187
22891,216049,n:1,1154872
HUMAN01306,216049,n:1
84890,211488,1:1,670066
1959,13654,1:1,970880
29982,641340,1:1,1221298
221037,108829,1:1,948448
221035,28193,1:1,1162119
29119,216033,1:1,1215676
347731,216028,1:1,974317
HUMAN01326,30045,1:1,949727
23411,93759,1:1,1188660
26091,67345,1:1,698929
84665,68802,1:1,969242
220202,53404,1:1,954501
64081,MOUSE00277,1:1,954593
3189,432467,1:1,963260
55680,70432,1:1,965098
1763,327762,1:1,855126
8034,73132,1:1,917335
80312,MOUSE00200,1:1,1229815
55749,67500,1:1,963889
219736,216021,1:1,1224231
79009,94213,1:1,963692
9188,56200,1:1,961827
26128,72320,1:1,842269
5552,19073,1:1,1192587
9559,30930,1:1,696593
6832,338359,1:1,808331
80201,216019,1:1,1141047
3098,15275,1:1,1141008
6865,21337,1:1,966765
23555,70423,1:1,718111
50674,11925,1:1,938213
219738,69894,1:1,1179984
1305,12817,1:1,964025
55506,404634,1:1,969790
84883,71361,1:1,1140000
219743,71767,1:1,951324
56681,20224,1:1,953175
5464,67895,1:1
64106,237362,1:1,969538
55222,216011,1:1,965907
1979,13688,1:1,697301
4838,18119,1:1,913375
27143,27355,1:1,814155
5551,18646,1:1,1164780
140766,MOUSE01931,1:1,962878
219793,65971,1:1,1189638
8879,20397,1:1,1183922
5092,13180,1:1,922953
219699,107449,1:1,340136
55315,71279,1:1,673898
64072,MOUSE01878,1:1,971362
414152,100302688,1:1,1190117
64115,74048,1:1,1197407
HUMAN01568,19156,1:1,1185657
9469,53374,1:1,1138367
9806,94214,1:1,1148557
HUMAN01581,69090,1:1,779954
119504,MOUSE01358,1:1,944907
54541,74747,1:1,1197692
HUMAN01604,56709,1:1,961115
10367,216001,1:1,917354
90550,215999,1:1,697989
170392,18302,1:1,968265
84647,69836,1:1,826737
5033,18451,1:1
25961,67725,1:1,812151
11319,70601,1:1,954339
317662,105428,1:1,1155633
23234,108671,1:1,1193890
51021,66242,1:1,961732
HUMAN01653,76670,1:1,1206680
310,11750,1:1,675257
118490,74843,1:1,1186106
5532,19056,1:1,1195472
159195,78787,1:1
58529,59011,1:1,352740
79933,68760,1:1,963288
9632,218811,1:1,770533
170384,73068,1:1,1192752
118487,66121,1:1,922623
23053,268721,1:1,1227637
8509,17423,1:1,886823
818,MOUSE13750,1:1
5328,18792,1:1,962805
7414,22330,1:1,1215668
26985,55946,1:1,1221328
132,11534,1:1,929558
23522,54169,1:1,721049
338599,435391,1:1,1168457
HUMAN01786,MOUSE13988,1:1,673829
7417,22334,1:1,1225581
118881,69156,1:1,921839
84858,218820,1:1,969420
83938,MOUSE14067,1:1,912390
3778,16531,1:1,964318
9231,71228,1:1,1236177
11128,218832,1:1,1247541
6229,20088,1:1,1162981
57178,328365,1:1,963966
10105,105675,1:1,962047
219654,71918,1:1,1198131
729238,20387,n:1
653509,20387,n:1,978016
729262,328250,n:1
283008,328250,n:1
6441,20390,1:1,973603
80195,66039,1:1,1186663
219348,211623,1:1,1151898
311,11744,1:1,675267
4143,11720,1:1,1242241
143241,69496,1:1,967251
84332,71200,1:1,1144166
84293,70564,1:1,667817
81619,52588,1:1,718130
387694,328381,1:1,681325
10718,18183,1:1,1180214
27069,66092,1:1,841408
387695,70045,1:1,407932
92211,170677,1:1
340745,239038,1:1,1186346
5995,57811,1:1,1174376
26103,239037,1:1,976348
54462,72972,1:1,1238412
2894,14803,1:1,940658
23063,218914,1:1,699170
94233,30044,1:1,964504
11155,24131,1:1,965333
657,12166,1:1,963280
79812,105450,1:1,1166719
6623,20618,1:1,1214522
644054,69134,n:1
2746,14661,1:1,1238198
54537,75698,1:1
728118,328250,n:1,937519
728130,328250,n:1
9562,17330,1:1,1194200
9060,23972,1:1,1212194
84896,67979,1:1,961435
5728,19211,1:1,752267
55328,MOUSE25369,1:1,1193935
8513,67717,1:1,1149513
643414,240633,1:1,1149519
643418,70166,1:1,1149517
340654,78753,1:1,1149518
118932,52024,1:1,362099
57559,76630,1:1,1227034
59,11475,1:1,767171
355,14102,1:1,963299
9023,12642,1:1,785955
3988,16889,1:1,1149512
3433,15958,1:1,960729
3437,15959,1:m
3437,667370,1:m,960732
439996,667373,n:m
439996,112419,n:m
439996,15957,n:m,960733
3434,667373,n:m,960735
3434,112419,n:m
3434,15957,n:m
387700,240638,1:1,961426
53354,75735,1:1,901384
9585,240641,1:1,962233
3363,15566,1:1
10556,54364,1:1,1219099
27063,107765,1:1,966278
84333,76073,1:1
143279,226098,1:1,698930
5507,53412,1:1,771331
80351,74493,1:1,968375
143282,72514,1:1,1222923
9044,107182,1:1,924410
22849,208922,1:1,1196475
54708,69104,1:1,1223099
3416,15925,1:1,937091
3832,16551,1:1,973351
3087,15242,1:1,962678
54536,107371,1:1,1196437
340665,546726,1:1,930627
1592,13082,1:1,930630
26509,226101,1:1,1175419
55165,74107,1:1
338557,107221,1:1,1209230
5950,19662,1:1,420091
5146,110855,1:1,697808
118924,70567,1:1,896115
9211,56839,1:1,1185378
159371,240660,1:1,859532
51196,MOUSE25598,1:1,1219975
64318,57753,1:1,1241378
23232,209478,1:1,965994
3070,15201,1:1,961578
1562,72303,n:m
1562,69888,n:m
1562,13097,n:m
1562,13096,n:m
1562,107141,n:m
HUMAN02245,72303,n:m
HUMAN02245,69888,n:m
HUMAN02245,13097,n:m
HUMAN02245,13096,n:m
HUMAN02245,107141,n:m
1557,72303,n:m
1557,69888,n:m
1557,13097,n:m
1557,13096,n:m
1557,107141,n:m
1559,72303,n:m
1559,69888,n:m
1559,13097,n:m
1559,13096,n:m
1559,107141,n:m
9124,54132,1:1,1208719
10580,MOUSE25650,1:1,1196182
5832,56454,1:1,1248719
26123,67590,1:1,808893
953,12495,1:1,861597
387707,MOUSE25717,1:1,718610
54619,240665,1:1,673323
9849,72672,1:1,1173886
29760,17060,1:1,965950
1791,21673,1:1,895576
93377,226115,1:1,926723
7093,24087,1:1,969120
56889,107358,1:1,698602
118788,83490,1:1,1190564
84458,212391,1:1,1216434
6585,20562,1:1,1182858
HUMAN02364,71085,n:1
84986,71085,n:1,963048
10023,14296,n:m,1141598
10023,212398,n:m
10023,27412,n:m
23401,14296,n:m
23401,212398,n:m,1141597
23401,27412,n:m
23223,107094,1:1,719374
5223,18648,1:1,820498
51013,66583,1:1,1163053
84287,74168,1:1,962705
64210,72199,1:1,950828
80019,226122,1:1,1210901
HUMAN02414,MOUSE25883,1:1,962921
112817,67432,1:1,1228898
HUMAN02419,84095,1:1
414157,66765,1:1,904420
118812,226123,1:1,963399
60370,69534,1:1,1142700
83742,277010,1:1,1139351
118813,319740,1:1,1175274
6425,54612,1:1,1186800
401647,71146,1:1
55118,72832,1:1,963343
27291,52013,1:1,936770
84171,67573,1:1,969016
84795,74580,1:1,1209908
3257,192236,1:1,1236390
60495,545291,1:1,710898
26507,83674,1:1,708584
2805,14718,1:1,1175571
159296,18089,1:1,1234286
81894,246696,1:1,917333
57089,93685,1:1,861598
51076,66388,1:1,898680
1355,226139,1:1,1241986
1244,12780,1:1,961749
1369,93721,1:1,758595
10613,226144,1:1,1230335
1147,12675,1:1,1193914
55280,72502,1:1,961016
282991,73689,1:1,714900
9033,329064,1:1,964842
6319,30049,1:m,879881
6319,20250,1:m
7479,MOUSE26050,1:1,831197
25956,240667,1:1,1210947
4714,67264,n:1
4714,67264,n:1,1235772
55662,319594,1:1,907319
